paper_id,doi,arxiv_id,title,authors,year,venue,citations,url
P01_christensen_2023,10.1093/jjfinec/nbac020,,A Machine Learning Approach to Volatility Forecasting,Christensen et al.,2023,Journal of Financial Econometrics,85,https://doi.org/10.1093/jjfinec/nbac020
P02_bucci_2020,10.1093/jjfinec/nbaa008,,Realized Volatility Forecasting with Neural Networks,Bucci Andrea,2020,Journal of Financial Econometrics,105,https://doi.org/10.1093/jjfinec/nbaa008
P03_luong_2018,10.3390/jrfm11040061,,Forecasting of Realised Volatility with the Random Forests Algorithm,Luong et al.,2018,Journal of Risk and Financial Management (MDPI),53,https://doi.org/10.3390/jrfm11040061
P04_bennedsen_2022,10.1093/jjfinec/nbaa049,,Decoupling the Short- and Long-Term Behavior of Stochastic Volatility,Bennedsen Mikkel et al.,2022,Journal of Financial Econometrics,54,https://doi.org/10.1093/jjfinec/nbaa049
P05_buccheri_2021,10.1093/jjfinec/nbz025,,HARK the SHARK: Realized Volatility Modeling with Measurement Errors and Nonlinear Dependencies,Buccheri Giuseppe et al.,2021,Journal of Financial Econometrics,20,https://doi.org/10.1093/jjfinec/nbz025
P06_caporin_2024,10.1093/jjfinec/nbae014,,Exploiting Intraday Decompositions in Realized Volatility Forecasting: A Forecast Reconciliation Approach,Caporin Massimiliano et al.,2024,Journal of Financial Econometrics,2,https://doi.org/10.1093/jjfinec/nbae014
P07_hong_2023,10.1093/jjfinec/nbab006,,Volatility Estimation and Forecasts Based on Price Durations,Hong Seok Young et al.,2023,Journal of Financial Econometrics,18,https://doi.org/10.1093/jjfinec/nbab006
P08_zhuo_2024,10.3390/risks12010012,,A Hybrid Model for Forecasting Realized Volatility Based on Heterogeneous Autoregressive Model and Support Vector Regression,Zhuo et al.,2024,Risks (MDPI),8,https://doi.org/10.3390/risks12010012
P09_rubio_2022,10.3390/math10132181,,Forecasting Selected Colombian Shares Using a Hybrid ARIMA-SVR Model,Rubio et al.,2022,Mathematics (MDPI),44,https://doi.org/10.3390/math10132181
P10_shen_2021,10.3390/jrfm14070337,,Bitcoin Return Volatility Forecasting: A Comparative Study between GARCH and RNN,Shen et al.,2021,Journal of Risk and Financial Management (MDPI),39,https://doi.org/10.3390/jrfm14070337
