paper_id,doi,arxiv_id,title,authors,year,venue,citations,url,oa_status,is_oa,best_oa_url,best_oa_host,n_oa_locations,all_oa_urls
P01_christensen_2023,10.1093/jjfinec/nbac020,,A Machine Learning Approach to Volatility Forecasting,Christensen et al.,2023,Journal of Financial Econometrics,85,https://doi.org/10.1093/jjfinec/nbac020,green,True,https://arxiv.org/pdf/2601.13014,repository,5,https://arxiv.org/pdf/2601.13014; https://pure.au.dk/ws/files/414118629/A_machine_learning_approach_to_volatility_forecasting_2023_AM.pdf; https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3766999; https://pure.au.dk/portal/en/publications/889c873d-4d03-4aa0-bc6f-0f54864a8131; https://doi.org/10.48550/arxiv.2601.13014
P02_bucci_2020,10.1093/jjfinec/nbaa008,,Realized Volatility Forecasting with Neural Networks,Bucci Andrea,2020,Journal of Financial Econometrics,105,https://doi.org/10.1093/jjfinec/nbaa008,closed,False,,,0,
P03_luong_2018,10.3390/jrfm11040061,,Forecasting of Realised Volatility with the Random Forests Algorithm,Luong et al.,2018,Journal of Risk and Financial Management (MDPI),53,https://doi.org/10.3390/jrfm11040061,hybrid,True,https://www.mdpi.com/1911-8074/11/4/61/pdf?version=1539302744,publisher,5,https://www.mdpi.com/1911-8074/11/4/61/pdf?version=1539302744; https://doaj.org/article/99a913ee41114d45b37e7c41a9b7bf57; http://hdl.handle.net/10419/238927; http://hdl.handle.net/20.500.11937/71135; http://dx.doi.org/10.3390/jrfm11040061
P04_bennedsen_2022,10.1093/jjfinec/nbaa049,,Decoupling the Short- and Long-Term Behavior of Stochastic Volatility,Bennedsen Mikkel et al.,2022,Journal of Financial Econometrics,54,https://doi.org/10.1093/jjfinec/nbaa049,gold,True,https://pure.au.dk/portal/en/publications/12923aee-679f-4918-9ccf-e229937f2346,,6,https://pure.au.dk/portal/en/publications/12923aee-679f-4918-9ccf-e229937f2346; https://arxiv.org/pdf/1610.00332; http://arxiv.org/pdf/1610.00332; https://arxiv.org/pdf/1610.00332.pdf; https://pure.au.dk/portal/en/publications/66d5f187-3eb9-4624-94dd-c32720798081; https://doi.org/10.48550/arxiv.1610.00332
P05_buccheri_2021,10.1093/jjfinec/nbz025,,HARK the SHARK: Realized Volatility Modeling with Measurement Errors and Nonlinear Dependencies,Buccheri Giuseppe et al.,2021,Journal of Financial Econometrics,20,https://doi.org/10.1093/jjfinec/nbz025,green,True,https://openaccess.city.ac.uk/id/eprint/23156/1/BuccheriCorsi_HarkTheShark_wp2019.pdf,repository,3,https://openaccess.city.ac.uk/id/eprint/23156/1/BuccheriCorsi_HarkTheShark_wp2019.pdf; https://hdl.handle.net/11568/1028372; http://hdl.handle.net/2108/253281
P06_caporin_2024,10.1093/jjfinec/nbae014,,Exploiting Intraday Decompositions in Realized Volatility Forecasting: A Forecast Reconciliation Approach,Caporin Massimiliano et al.,2024,Journal of Financial Econometrics,2,https://doi.org/10.1093/jjfinec/nbae014,hybrid,True,https://doi.org/10.1093/jjfinec/nbae014,publisher,2,https://doi.org/10.1093/jjfinec/nbae014; https://www.research.unipd.it/bitstream/11577/3540963/1/2024_Caporin_et_al_JFEc.pdf
P07_hong_2023,10.1093/jjfinec/nbab006,,Volatility Estimation and Forecasts Based on Price Durations,Hong Seok Young et al.,2023,Journal of Financial Econometrics,18,https://doi.org/10.1093/jjfinec/nbab006,green,True,https://eprints.lancs.ac.uk/id/eprint/151427/1/SSRN_id2713322.pdf,repository,2,https://eprints.lancs.ac.uk/id/eprint/151427/1/SSRN_id2713322.pdf; https://nottingham-repository.worktribe.com/output/33024282
P08_zhuo_2024,10.3390/risks12010012,,A Hybrid Model for Forecasting Realized Volatility Based on Heterogeneous Autoregressive Model and Support Vector Regression,Zhuo et al.,2024,Risks (MDPI),8,https://doi.org/10.3390/risks12010012,gold,True,https://www.mdpi.com/2227-9091/12/1/12/pdf?version=1705397893,publisher,2,https://www.mdpi.com/2227-9091/12/1/12/pdf?version=1705397893; https://doaj.org/article/bdf6d933429749ea9e7fe58fbdb06db6
P09_rubio_2022,10.3390/math10132181,,Forecasting Selected Colombian Shares Using a Hybrid ARIMA-SVR Model,Rubio et al.,2022,Mathematics (MDPI),44,https://doi.org/10.3390/math10132181,gold,True,https://www.mdpi.com/2227-7390/10/13/2181/pdf?version=1655953139,publisher,3,https://www.mdpi.com/2227-7390/10/13/2181/pdf?version=1655953139; https://doaj.org/article/528419adcd354014a3d0b6889410ed76; https://dx.doi.org/10.3390/math10132181
P10_shen_2021,10.3390/jrfm14070337,,Bitcoin Return Volatility Forecasting: A Comparative Study between GARCH and RNN,Shen et al.,2021,Journal of Risk and Financial Management (MDPI),39,https://doi.org/10.3390/jrfm14070337,hybrid,True,https://www.mdpi.com/1911-8074/14/7/337/pdf?version=1626917041,publisher,4,https://www.mdpi.com/1911-8074/14/7/337/pdf?version=1626917041; https://doaj.org/article/9046c3b9bb534880800877c581d5db67; http://hdl.handle.net/10419/258441; https://dx.doi.org/10.3390/jrfm14070337
