source,doi,title,abstract,venue,year,citations,authors,url,filter_status
crossref,10.1093/jjfinec/nbaa008,Realized Volatility Forecasting with Neural Networks,"Abstract In the last few decades, a broad strand of literature in finance has implemented artificial neural networks as a forecasting method. The major advantage of this approach is the possibility to approximate any linear and nonlinear behaviors without knowing the structure of the data generating process. This makes it suitable for forecasting time series which exhibit long-memory and nonlinear dependencies, like conditional volatility. In this article, the predictive performance of feed-forward and recurrent neural networks (RNNs) was compared, particularly focusing on the recently developed long short-term memory (LSTM) network and nonlinear autoregressive model process with eXogenous input (NARX) network, with traditional econometric approaches. The results show that RNNs are able to outperform all the traditional econometric methods. Additionally, capturing long-range dependence through LSTM and NARX models seems to improve the forecasting accuracy also in a highly volatile period.",Journal of Financial Econometrics,2020,105,"Bucci, Andrea",https://doi.org/10.1093/jjfinec/nbaa008,pass
crossref,10.1093/jjfinec/nbab030,The Role of Jumps in Realized Volatility Modeling and Forecasting,"Abstract Building on an extensive empirical analysis, I investigate the relevance of jumps and signed variations in predicting realized volatility. I show that properly accounting for intra-day volatility patterns and staleness sensibly reduces the identified jumps, in particular for low and moderate liquidity assets. Modeling realized variance using jumps and intra-day return sign improves the in-sample fit of commonly adopted specifications, irrespective of assets liquidity. From a forecasting perspective, the empirical evidence I report shows that most models, independently from their flexibility, are statistically equivalent in many cases. These results are confirmed with different samples, assets liquidity level, forecast horizons, and possible transformations of the dependent and explanatory variables.",Journal of Financial Econometrics,2023,7,"Caporin, Massimiliano",https://doi.org/10.1093/jjfinec/nbab030,drop:no_comparison_term
crossref,10.1093/jjfinec/nbac020,A Machine Learning Approach to Volatility Forecasting,"Abstract We inspect how accurate machine learning (ML) is at forecasting realized variance of the Dow Jones Industrial Average index constituents. We compare several ML algorithms, including regularization, regression trees, and neural networks, to multiple heterogeneous autoregressive (HAR) models. ML is implemented with minimal hyperparameter tuning. In spite of this, ML is competitive and beats the HAR lineage, even when the only predictors are the daily, weekly, and monthly lags of realized variance. The forecast gains are more pronounced at longer horizons. We attribute this to higher persistence in the ML models, which helps to approximate the long memory of realized variance. ML also excels at locating incremental information about future volatility from additional predictors. Lastly, we propose an ML measure of variable importance based on accumulated local effects. This shows that while there is agreement about the most important predictors, there is disagreement on their ranking, helping to reconcile our results.",Journal of Financial Econometrics,2023,85,"Christensen, Kim; Siggaard, Mathias; Veliyev, Bezirgen",https://doi.org/10.1093/jjfinec/nbac020,pass
crossref,10.1093/jjfinec/nbad005,Volatility Forecasting with Machine Learning and Intraday Commonality,"Abstract We apply machine learning models to forecast intraday realized volatility (RV), by exploiting commonality in intraday volatility via pooling stock data together, and by incorporating a proxy for the market volatility. Neural networks dominate linear regressions and tree-based models in terms of performance, due to their ability to uncover and model complex latent interactions among variables. Our findings remain robust when we apply trained models to new stocks that have not been included in the training set, thus providing new empirical evidence for a universal volatility mechanism among stocks. Finally, we propose a new approach to forecasting 1-day-ahead RVs using past intraday RVs as predictors, and highlight interesting time-of-day effects that aid the forecasting mechanism. The results demonstrate that the proposed methodology yields superior out-of-sample forecasts over a strong set of traditional baselines that only rely on past daily RVs.",Journal of Financial Econometrics,2024,32,"Zhang, Chao; Zhang, Yihuang; Cucuringu, Mihai; Qian, Zhongmin",https://doi.org/10.1093/jjfinec/nbad005,pass
crossref,10.1093/jjfinec/nby011,"Comparing Predictive Accuracy under Long Memory, With an Application to Volatility Forecasting*",,Journal of Financial Econometrics,2019,3,"Kruse, Robinson; Leschinski, Christian; Will, Michael",https://doi.org/10.1093/jjfinec/nby011,drop:no_comparison_term
crossref,10.1093/jjfinec/nbae014,Exploiting Intraday Decompositions in Realized Volatility Forecasting: A Forecast Reconciliation Approach,Abstract We address the construction of Realized Variance (RV) forecasts by exploiting the hierarchical structure implicit in available decompositions of RV. We propose a post-forecasting approach that utilizes bottom-up and regression-based reconciliation methods. By using data referred to the Dow Jones Industrial Average Index and to its constituents we show that exploiting the informative content of hierarchies improves the forecast accuracy. Forecasting performance is evaluated out-of-sample based on the empirical MSE and QLIKE criteria as well as using the Model Confidence Set approach.,Journal of Financial Econometrics,2024,2,"Caporin, Massimiliano; Di Fonzo, Tommaso; Girolimetto, Daniele",https://doi.org/10.1093/jjfinec/nbae014,pass
crossref,10.1093/jjfinec/nbaa005,Forecasting Equity Index Volatility by Measuring the Linkage among Component Stocks*,"Abstract The linkage among the realized volatilities of component stocks is important when modeling and forecasting the relevant index volatility. In this article, the linkage is measured via an extended Common Correlated Effects (CCEs) approach under a panel heterogeneous autoregression model where unobserved common factors in errors are assumed. Consistency of the CCE estimator is obtained. The common factors are extracted using the principal component analysis. Empirical studies show that realized volatility models exploiting the linkage effects lead to significantly better out-of-sample forecast performance, for example, an up to 32% increase in the pseudo R2. We also conduct various forecasting exercises on the linkage variables that compare conventional regression methods with popular machine learning techniques.",Journal of Financial Econometrics,2022,4,"Qiu, Yue; Xie, Tian; Yu, Jun; Zhou, Qiankun",https://doi.org/10.1093/jjfinec/nbaa005,pass
crossref,10.1093/jjfinec/nbab015,Volatility Bursts: A Discrete-Time Option Model with Multiple Volatility Components,"Abstract I propose an affine discrete-time model, called Vector Autoregressive Gamma with volatility Bursts (VARG-B) in which volatility experiences, in addition to frequent and small changes, periods of sudden and extreme movements generated by a latent factor which evolves according to the Autoregressive Gamma Zero process. A key advantage of the discrete-time specification is the possibility of estimating the model using Kalman Filter techniques. Moreover, the VARG-B model leads to a fully analytic conditional Laplace transform which boils down to a closed-form option pricing formula. When estimated on S&amp;P500 index options and returns, the new model provides more accurate option pricing and modeling of the IV surface compared with some alternative models.",Journal of Financial Econometrics,2023,49,"Lilla, Francesca",https://doi.org/10.1093/jjfinec/nbab015,drop:no_forecast_term
crossref,10.1093/jjfinec/nbac035,Volatility of Volatility Estimation: Central Limit Theorems for the Fourier Transform Estimator and Empirical Study of the Daily Time Series Stylized Facts,"Abstract We study the asymptotic normality of two feasible estimators of the integrated volatility of volatility based on the Fourier methodology, which does not require the pre-estimation of the spot volatility. We show that the bias-corrected estimator reaches the optimal rate n1/4, while the estimator without bias-correction has a slower convergence rate and a smaller asymptotic variance. Additionally, we provide simulation results that support the theoretical asymptotic distribution of the rate-efficient estimator and show the accuracy of the latter in comparison with a rate-optimal estimator based on the pre-estimation of the spot volatility. Finally, using the rate-optimal Fourier estimator, we reconstruct the series of the daily volatility of volatility of the S&amp;P500 and EUROSTOXX50 indices over long samples and provide novel insight into the existence of stylized facts about the volatility of volatility dynamics.",Journal of Financial Econometrics,2024,6,"Toscano, Giacomo; Livieri, Giulia; Mancino, Maria Elvira; Marmi, Stefano",https://doi.org/10.1093/jjfinec/nbac035,drop:no_forecast_term
crossref,10.1093/jjfinec/nby023,Testing for Bubbles in Cryptocurrencies with Time-Varying Volatility,,Journal of Financial Econometrics,2018,19,"Hafner, Christian M",https://doi.org/10.1093/jjfinec/nby023,drop:no_forecast_term
